id,llm_label,raw_response,model
nz38vyr,hot_take,hot_take,openai/gpt-oss-20b
nz4c9mk,hot_take,hot_take,openai/gpt-oss-20b
nz2oule,hot_take,hot_take,openai/gpt-oss-20b
nz3xhb7,hot_take,hot_take,openai/gpt-oss-20b
nz4u9jo,hot_take,hot_take,openai/gpt-oss-20b
nz391a8,hot_take,hot_take,openai/gpt-oss-20b
nz7tn6j,hot_take,hot_take,openai/gpt-oss-20b
nz09dkz,hot_take,hot_take,openai/gpt-oss-20b
nz5rgxn,reaction,reaction,openai/gpt-oss-20b
nyyn34n,hot_take,hot_take,openai/gpt-oss-20b
nyzvk0u,banter,banter,openai/gpt-oss-20b
nzk4719,hot_take,hot_take,openai/gpt-oss-20b
nz2yagk,hot_take,hot_take,openai/gpt-oss-20b
nyz3tsl,hot_take,hot_take,openai/gpt-oss-20b
nyzrg04,banter,banter,openai/gpt-oss-20b
nzzhh2j,hot_take,hot_take,openai/gpt-oss-20b
nz2f8az,hot_take,hot_take,openai/gpt-oss-20b
nz3erky,hot_take,hot_take,openai/gpt-oss-20b
nz4gyjq,banter,banter,openai/gpt-oss-20b
nz2elv6,banter,banter,openai/gpt-oss-20b
nz87yf3,hot_take,hot_take,openai/gpt-oss-20b
nz4xs3m,hot_take,hot_take,openai/gpt-oss-20b
nz2ggo1,hot_take,hot_take,openai/gpt-oss-20b
nz34itk,hot_take,hot_take,openai/gpt-oss-20b
nz2n0a7,reaction,reaction,openai/gpt-oss-20b
nz2ehh1,hot_take,hot_take,openai/gpt-oss-20b
nz2lyqc,hot_take,hot_take,openai/gpt-oss-20b
nz2lyra,analysis,analysis,openai/gpt-oss-20b
nz2bvqy,hot_take,hot_take,openai/gpt-oss-20b
nz2pk3m,banter,banter,openai/gpt-oss-20b
o4c0fvv,hot_take,hot_take,openai/gpt-oss-20b
o4i68hc,hot_take,hot_take,openai/gpt-oss-20b
o4d6xnu,hot_take,hot_take,openai/gpt-oss-20b
o4divud,hot_take,hot_take,openai/gpt-oss-20b
o4f4j0l,hot_take,hot_take,openai/gpt-oss-20b
o4e005s,reaction,reaction,openai/gpt-oss-20b
o4dxake,banter,banter,openai/gpt-oss-20b
o4gmnel,hot_take,hot_take,openai/gpt-oss-20b
o4e1ztx,hot_take,hot_take,openai/gpt-oss-20b
o4fpj04,reaction,reaction,openai/gpt-oss-20b
o4e2ere,hot_take,hot_take,openai/gpt-oss-20b
o4eb29p,hot_take,hot_take,openai/gpt-oss-20b
o4fmuzv,hot_take,hot_take,openai/gpt-oss-20b
o4drnuv,hot_take,hot_take,openai/gpt-oss-20b
o4el0oh,hot_take,hot_take,openai/gpt-oss-20b
o4hbenr,hot_take,hot_take,openai/gpt-oss-20b
o4e5pck,banter,banter,openai/gpt-oss-20b
o4my2tk,banter,banter,openai/gpt-oss-20b
o4es723,hot_take,hot_take,openai/gpt-oss-20b
o4bjsgh,hot_take,hot_take,openai/gpt-oss-20b
o4bd26y,hot_take,hot_take,openai/gpt-oss-20b
o4bipt2,hot_take,hot_take,openai/gpt-oss-20b
o4bcxy2,hot_take,hot_take,openai/gpt-oss-20b
o4bsp1c,reaction,reaction,openai/gpt-oss-20b
o4b9kf2,reaction,reaction,openai/gpt-oss-20b
o4ck7dn,hot_take,hot_take,openai/gpt-oss-20b
o4b8io8,analysis,analysis,openai/gpt-oss-20b
o4ch4l4,hot_take,hot_take,openai/gpt-oss-20b
o4fvxsh,banter,banter,openai/gpt-oss-20b
o4cq4er,hot_take,hot_take,openai/gpt-oss-20b
o4coog0,hot_take,hot_take,openai/gpt-oss-20b
o4e2mb1,hot_take,hot_take,openai/gpt-oss-20b
o4cbmvi,hot_take,hot_take,openai/gpt-oss-20b
o4d38q1,hot_take,hot_take,openai/gpt-oss-20b
o4d5l8o,hot_take,hot_take,openai/gpt-oss-20b
o4gfo66,hot_take,hot_take,openai/gpt-oss-20b
o4ec8bg,hot_take,hot_take,openai/gpt-oss-20b
ofd5sf4,banter,banter,openai/gpt-oss-20b
o4l2u5r,hot_take,hot_take,openai/gpt-oss-20b
o4f729u,reaction,reaction,openai/gpt-oss-20b
o4es0pi,hot_take,hot_take,openai/gpt-oss-20b
o4htvfm,banter,banter,openai/gpt-oss-20b
o4g1y72,reaction,reaction,openai/gpt-oss-20b
o4drr31,banter,banter,openai/gpt-oss-20b
o4fgaws,hot_take,hot_take,openai/gpt-oss-20b
