text,label,notes
I was so pissed when he hit this shot.,reaction,
Are you high Maxey is hands down without question the 6ers' most important player what the actual fuck are you talking about,hot_take,
why would that be ironic tho. every team would love to have a Draymond who's a certified DAWG and winner,hot_take,
Our defense was actually pretty good this game,reaction,
"The real question is, is he commited to Sparkle Motion?",banter,
"I know tanking is technically bad, but now that my team is finally doing it I am unusually tuned in and invested in teams like the Clippers winning their way up the ranks. Do your part Clippers, Bucks, Blazers!",reaction,
Are you saying if Jokic got I. Wemby’s face or if Wemby did what Jokic did? Because for one I don’t think it’ll ever happen because Wemby isn’t that sort of player to instigate and the other I don’t think anyone would be talking suspension for Wemby getting in someone’s face during the playoffs,hot_take,
He wanted more money thats why lol,hot_take,
"I doubt it - that's not how he rolls, especially after we won the game. My guess is that the NBA got mixed up in it in a way that could seem ""extra-curricular"". I think one of two things may have happened: 1) The docs for both sides told him he was fine and then the NBA reversed that 2) The docs cautioned him to sit but the NBA pushed him to play The Spurs believe in their ability to beat this team without him, but they'd also take the L before putting him in danger long-term. That's an easy trade and one we've made time and time again.",hot_take,Structured speculation (two numbered scenarios) but no evidence - structure != analysis
"Just mature. Don't have dumb turnovers, don't think you've won the game before you actually did, don't think you've won the title before you actually did.",hot_take,
? Have you seen him bumping smaller guards in the paint,reaction,"was hot_take (pre-label), corrected on review"
"This is revionist. The team set up was good, but the actual players wouldnt have held up 3-4 years. Most were already older. Kyrie hasn't held up well and really, neither has Luka. You cant base your team around heliocentric offensive players that miss a ton of games.",hot_take,Some evidence (Kyrie/Luka health) but vague; borderline analysis
It’s honestly baffling that this always works lol,reaction,
The Clippers had 50 wins last year and 49 in 2020 with 72 played games. Dumbass talking point,analysis,
"I don’t think it’s as different as you think. Ja has been a broken player for awhile. And let’s say somebody like Minnesota does decide to take a flier on Ja. The fact that he’s a negative asset on that contract means that there is no bidding war for him, and therefore the Wolves would have no reason to put any real assets in the trade. Memphis will have no leverage if/when they trade him. A bunch of players signed max-ish contracts a few years ago that have put their teams in the same position as someone who’s upside down on a home mortgage. The market has collapsed but they still owe all the money.",analysis,
Strahinja kicks your ass if you don’t write well about his bfother,banter,
The jump forward against Luka was far more egregious,hot_take,
"you can say 2-7. Spurs have not been very consistent either, though we have nice a 4 game streak going currently.",hot_take,Record stat (2-7) used as a single decorative stat -> hot_take per rule A
All-time Ball Don't Lie moment,reaction,
lol behind Jaylen. Come on. Jaylen is obviously very good. But come on.,hot_take,
One of the score only guards has a mid range jumper and is more efficient from 3. Guess which one.,hot_take,Rhetorical/sarcastic framing ('Guess which one') around a sincere comparison - rule C says label by the sincere claim
A Wemby to AG long would be fun.,reaction,
I dunno if you watch Embiid (as you are a 76ers fan) but the guy literally limps off each quarter. You really think he offers much on defense?,hot_take,
"What makes Rich Paul any less qualified than any other agent in the league? What an idiotic statement lol. He’s not a doctor, he’s a sports agent. None of these guys have any real “qualification”. They all get their jobs through connections and luck.",hot_take,
Honestly the funniest thing I've seen in a while,reaction,
"Luka. Harden, Kidd. 3 players who have made this in game. Lebron probably too but I dont recall one from him quite like this",hot_take,
"It’s just kinda pointless there, they missed a foul might as well let him have it. also the defense didn’t even come back after that so to call a travel on a wide open dunk is kinda cringe.",hot_take,
It’ll be interesting to see how this new team does against teams that have historically given us trouble.,reaction,
what even is going on in the east rn,reaction,
I mean they didn’t overcome it though,hot_take,
I mean you are throwing your clutch threes to marcus smart to take... Sounds insane to say it but if you need smart out there for defense in the clutch you should let him run the offense so he can make outlet passes to Reeves and Luka for shots...,analysis,Tactical suggestion with reasoning; borderline hot_take
"I remember a late-night game at Sacramento in March of '19 where he went nuclear in the 4th quarter and led them back from 25 down, with Atkinson going with DLo, Kurucs, Treveon Graham, Dudley and RHJ the whole quarter. RHJ had the most awkward looking game-winning layup I might have ever seen. Then they swung for the superteam and all the joy got sucked out of being a Nets fan ... again.",reaction,Long nostalgic memory with lots of specifics but no claim - specifics != analysis
I keep trying to tell my boss this. He keeps telling me to shut up and get back to work. Terrible place.,hot_take,"was banter (pre-label), corrected on review"
Metlife turf claims another victim,banter,
From championship locker room to Ace Ventura sequel. You can't make this shit up.,banter,
❌ open 3 from your two best shooters ✅ deep 3 from Luka,banter,
Nah this was actually crazy.,reaction,
"Well the reporter was really asking if there were any times where he was felt like there was a lack of effort, not just why he called a timeout in that situation. He could have just said “the timeout wasn’t out of frustration with effort, rather just regrouping and refocusing the guys on getting boards. I felt like our guys fought hard all 48 minutes tonight.”",analysis,"was hot_take (pre-label), corrected on review"
Commanders is actually even worse,hot_take,
I saw an offensive push off and a defender go straight up.,analysis,"was hot_take (pre-label), corrected on review"
Dude its not just your sub. Social media has fried people's brains. Sports discourse is fully cooked.,hot_take,
they need to keep Mitch because he is the only big that I trust to buoy the lineup when KAT inevitably gets into foul trouble.,hot_take,
"Here's a few things from a Kings fan that lives in Sacramento. The Kings aren't doing this because they want to tank. Vivek has never tanked. He's just the type that thinks he's smarter than everyone else. He genuinely thinks this team's failure this year was due to injuries. He's also been grooming Doug to be the head coach for years. He was the one guy that was forced onto Mike Brown's staff (Doug was a player development coach under Alvin Gentry). The Kings aren't even ready to tank. They have too big of a salary commitment and unmovable contracts, so they can't trade for bad contracts and stock up on picks. Hell, next year they might actually get some good play too since most of the vets will be on a contract year and will be trying to get one last payday. After next year is when they will be in position to tank, but by then, the NBA will basically remove any advantage of that strategy. So basically, the Kings will continue to make the 7 - 11 picks in the NBA draft.",analysis,
Which one of you stole those undies,banter,
> I don't see how it's supposed to make someone look good in any way. I think your confusion stems from a belief that billionaires care about looking good. They don’t. They care about money and control and if they have those two things it truly doesn’t matter how bad they look.,hot_take,
"To have even 82 games of Kevin Durant this season on an All-NBA team in lieu of a legitimate top three player who played 62 games is moronic. When you tell the story of the 2025-26 season, KD is an afterthought. Jokic was a top three player at worst.",hot_take,
Jokic won’t be getting that 5 pack colored variety underwear pack from target,banter,
They should be the Washington Basketball Team.,banter,
"He is great, but I mean he took 41 shots today lol",hot_take,
"I’m just stating how they can be skewed. Also yes, just 2 years ago the nuggets literally ran Jokic for 80% of his minutes with AT LEAST 3 other starters on the court outside of him. I’m not saying NBA rotations are always the same, but on/off is a metric that needs substance behind it because some stars get a lot of their minutes with bench guys, and other stars are almost exclusively ran with the starting lineup",analysis,
"People need to stop pointing at the surface stats as answers. Missing so much context, for starters, what lineups are played when harden is out vs mitchell being out.",analysis,
"Hot take? if the ball crosses the mid line and you haven't, you shouldn't be eligible to score till you cross back onto your own field. IDK Basketball requires some sort of offside rule because this just rewards being a baby and not playing D",hot_take,
Jokic has historically had weak teams and the Nuggets have had pretty awful injury luck in general. Jokic is the Lakers' father.,hot_take,"Has two supporting claims (weak teams, injury luck) but both are vague -> hot_take per rule A; ends with a joke"
"I was watching that game in person in Denver, from my angle that shit looked terrible. Just straight slammed his elbow on the court after coming down from midair.",reaction,
"I mean height doesn’t really matter, a punch is still going to hurt if it connects. Atm we have no clue what actually happened though",hot_take,Has logic (a punch hurts regardless of height) but no evidence; not basketball-specific
"**The Wire - Welcome to the New Day Co-Op** https://www.youtube.com/watch?v=hGo5bxWy21g ****** Something to remember is Rich Paul ""allegedly"" wrote personal checks to pay for ""supplements"" for LeBron James from Biogenesis. Think about how much of a complete moron you have to be to pay for stuff like that with personal checks. But ""allegedly"" Paul wanted the tax write offs. I knew people in high level media who called Rich Paul as ""Shamrock"" behind his back. I.E. Shamrock from HBO's The Wire, who got yelled at by Stringer Bell for taking meeting minutes from a full blown drug criminal conspiracy.",hot_take,Long anecdote with 'I knew people in media' - support is vague/unverifiable so hot_take per rule A
you have to understand that current bigs are developed completely differently than they were when Shaq was young. Wemby has been practicing 3's since he topped 6'. Coaches would bench bigs who took that shot back in 80s/90s.,analysis,
"Nah fr, I was thinking how Tatum would have made everyone’s life on the C’s much easier by drawing doubles and Defending KAT",analysis,"Tactical counterfactual (drawing doubles, defending KAT) - borderline analysis vs hot_take"
How much landing zone do you want exactly? Because this one shouldn't be called,hot_take,
"As the games get tougher and teams are pushing for playoff spots, we’re going to keep getting exposed for having basically no 3pt shooting. Unless they take it easy down to stretch to recharge I really don’t see us making a legit run at it.",hot_take,
"I mean I'm not gonna say brown is better than brunson or vice versa but look at brown's teammates compared to brunson. The celtics have one of the worst, least talented rosters in the league and are the 3 seed. It's incredible what brown and the coaching staff have done with what's essentially a team full of castoffs, inexperienced players, and player's on their last chance to stick in the league",analysis,
"CBA math makes it harder to surround Tatum and Brown with the critical role players that you need for a dynasty. They'll have to retool continually, which means more chances for mistakes. I don't think it's likely. But, I doubt we'll see a 3peat this decade into the next.",hot_take,"was analysis (pre-label), corrected on review"
"Like I said, I don’t have clips of him flopping on hand lol. I don’t know why you expect me to. If you’re honest, then next time you watch him play you’ll see it. I don’t get anything out of you believing me lol Here’s the flop that earned him a tech, though. https://youtu.be/28GoMOwkEgo?si=rLcP6u7Kj2qkmCwD",analysis,"was hot_take (pre-label), corrected on review"
I mean theres no shortage of that in the NFL either,hot_take,
because being in the league is “modern slavery”,banter,
Undefeated though in games I don’t have to watch by clicking on Amazon. I believe thats 4 in a row on NBC/ABC,banter,
I wonder if you gave Lebron truth serum if he would admit that he should have retired after Bronny’s first year.,banter,"was hot_take (pre-label), corrected on review"
He’s bad. Not *the worst* but very bad. His hustle makes up for some of it but he’s bbq chicken vs most matchups.,hot_take,
Good seing Tatum back man. I wish him nothing but the best. He still makes me mad when he fucks on my team but its overshadowed by a good recovery. I hope he stays healthy for the rest of his career,reaction,
No one wanted him this year as trade filler not sure a year later makes any difference. Not worth the risk of keeping his 16m on the books next year. I think clippers have one roster spot left cause Jordan miller wasn’t converted yet.,analysis,
Your hopes and dreams for your franchise is actually about another franchise. What a sad life you live bruh. Get fucking destroyed 76ers will be dogshit for the rest of your life and you’ll die mad.,hot_take,
"They should call this the same way they call the kickout, name it something like ""exaggerated landing"". IMO it should also be called reckless by the offensive player and be a technical foul, but I doubt the NBA does something like that.",hot_take,
"Fucking retarted rule. Average all star player play sth like 60games. So if you are going to set a rule, make it meaningful stats wise. If average of your top 24 player is around 62 games then minimum threshold should be somewhere like 50-55 games. Wemby playing 64 games is more worthy for all nba defense lineup then some subpar guy playing 66 games and getting into all defense team…",reaction,"Profane, hot framing (""retarted rule"") but the argument rests on a stat (avg all-star plays ~60 games) - rule A says analysis | was analysis (pre-label), corrected on review"
Luka is modern Allen Iverson,hot_take,
"Yeah, Zion at 260 in high school senior was doing 360-between-the-legs dunks. He was still a beast in the NBA too, he averaged 29 and 8 per-36 as a rookie. He just can't stay healthy. Maybe he eats too much and puts on too much weight, maybe his metabolism is freaky, maybe joints can't take that much force at that much weight.",analysis,
So he was just hating on the celts. Makes sense.,banter,
I don't think you understand the difference in weight and height we're talking about here. Luka has like 5 inches and 30-40 lbs on him. If you change Luka to a normal human height he'd be 5'9 170 and Schroder would be like 5'4 137.,analysis,
This is a nonsensical take. They don't win the series with McCain. They need multiple extra pieces and that's not coming from just one deadline.,hot_take,
"hey KD, dont you regret not coming to the KNIIIIIIIICKSSSSSS?",banter,
Hey they traded for a guy a while ago who's historically been good for like 12 boards a night forever when he was on the Mavs. Why don't they make that guy grab rebounds fulltime and let Ayton run the offense from the post?? Feels genius to me idk,banter,
"Tbh no doctor would suggest attending a basketball game less than a week after getting a concussion, much less playing in one. I got a concussion 5 days before a music festival that I had been planning for all year one time. I defiantly told the doc that I was going to the fest no matter what and he pretty much said ok that’s stupid and I don’t recommend it but whatever man.",hot_take,
"Lol I'm just saying he was the best player on a championship team, which is a feat that always reduces criticism. If Luka had a championship his perceived lack of defense wouldn't get ridiculed as much. Not sure why you can't comprehend this.",hot_take,
OKC has no competition so far from what we have seen,hot_take,
"47% of the time he's automatic, every time",banter,
"Idk, I think today's league will make it pretty tough for there to be a dynasty, especially with OKC (who probably has the better immediate odds), and the rise of the San Antonio Wemby & Friends. Plus the emergence of House Hornets has thrown an additional wild card into the mix",hot_take,
JJ will never do it but the lakers would be more dangerous in the playoffs if lebron played less or none at all. Just say his sciatica flared up again lmao,hot_take,
Turns out KAT and Josh Hart are handy players to have available,banter,
"Lamelo in the past has killed their offense any time they are on runs taking stupid deep threes trying to be a hero.. that might show itself in a playoff series.. but realisticly as the game slows down, i dont know if they can guard tatum or brown to get enough stops to win 4 games vs us and our shooting is good enough to keep up with them on hot nights. They might fair better vs the pistons who cant keep up shooting wise.",analysis,
"I've been a Mikal Bridges fan since he said playing all 82 games was a high priority each season. When he got traded to the Nets, he actually played 83 games that season. He is a solid role player that can adapt to play on any team. I think almost 20 players played all 82 this season. It should be a lot more, though",analysis,Mostly an appreciation post but backs 'solid role player' with 83-games fact; borderline reaction
"Dawg there isn’t a hardcoded rule of law in the NBA. If a player says “yeah, those calls tonight were fucking bullshit,” he can still get fined even though he didn’t specifically say he means the calls by the refs.",hot_take,
"No title shot, but glad to see they are at least having fun in south beach",banter,
Real ones will remember he was an X factor during that bucks championship run. Never looked the same after the bubble,hot_take,
They just lost to the pelicans. In a major slump,hot_take,
"Lukas defense has been over hated for a while now cus of the viral lowlights, and on top of that a single guard is never the reason for a teams defensive successes or failures",hot_take,
"That’s a natural shooting motion… he’s running at speed curling into the shot, he’s not going to go straight up and straight down, that’s not how physics work… his jumpshot looked completely natural, JJJ didn’t do anything egregious either but it just so happened his foot was under the landing space.. it’s a foul. It’s really easy to tell who on this sub actually watches basketball and who doesn’t holy shit. There’s also a clear difference between a natural leg kick out vs one that’s clearly trying to draw contact.",analysis,
"Knicks might be in trouble. When you can't beat the team that can't beat anyone above .500, you're in trouble.",hot_take,
"Shai, Jokic, Giannis, Luka, Wemby. Who is Tatum better than out of those 5?",hot_take,
keep mind other guys on the team. arent always gonna have quiet nights,hot_take,
If you can't play 82 games maybe you shouldn't make all that money,hot_take,
Great Camera Awareness is a superstar trait,banter,
This feels like something Jon Bois and Secret Base would make out of a Fumble Dimension episode.,banter,
"Nothing makes these years feel better than knowing you were commenting ""if Sullinger just stops eating Dunkin we can-"" a decade ago.",banter,
How does this team own the Raptors?,reaction,
Its because he looks good in our series but not because of his defense. You knocked off the C's and came back from 3-1. I would be happy for just that.,hot_take,
Now do Jared McCain for the Sixer fans in the back.,banter,
"When it’s off the court? Yeah, that’s assault, lol.",hot_take,
Kawhi Leonard did it in a cave with a box of scraps,banter,
lmao youre really saying that shit,reaction,
There is an aspect to guys who are unbothered that is a 12 on the cool scale. Kawhi has it. Jokic has it. KD has it. Klay used to have it. Duncan had it Just so completely comfortable that the game is being processed so rapidly that it looks slow to them,hot_take,
It's a great counter to the casual carry violation that every modern NBA ballhandler has.,hot_take,
Spurs have 7-8 eligible players… plenty of teams have had over 8 if you count every player who played 20 games or was on the roster at some point in the season.,analysis,
"I'm surpised the league even allows active players to have one. It seems in some odd ways, a conflict of interest and not good for the league.",hot_take,
It’s pretty cool that the top four First Team are international players.,reaction,
What do you think fines are for? They're to discourage bad behavior. Bad behavior like starting a fight for no reason. Do you think this miniscule fine will alter his behavior whatsoever?,hot_take,
“Why would you do tha—- t’s my GOAT!”,banter,
Literally I think he's just pissed he wasn't allowed to play last game lol! Understandable I mean you're one of the best players in the league and extreme competitor hanging with monks and stuff trying to perfect your craft I mean come on 😂 But he has to understand this is good. And he shouldn't even be playing tonight if we're being honest. He got a concussion on the basketball court and was out cold for a few seconds. Even if it never happens again that's a very scary thing. We could almost argue it's malpractice he was out there tonight I mean the end of the day it's going to be whatever but still,hot_take,"Long, emotional and rambling; dominant purpose is the claim he shouldn't be playing -> hot_take over reaction"
"lol what a dog shit team, yall suck so bad and will never be good",hot_take,
Shows you how many of these voters don’t watch or know ball,hot_take,
Are you just now realizing people root against successful teams? Why do you think the Pats were so hated.,hot_take,
It’s his length that’s so impressive…,banter,
"38 year old LeBron knocked him out of the playoffs and off the grizzlies, took him 2 years in Houston to get his reputation back. A regular season game or two isnt making up for that",analysis,
They didn’t want you to witness that beat down,banter,
when the spurs and thunder meet i have this feeling the x factor will be harrison barnes. hes going to play some key minutes and use his veteranship to push the spurs,hot_take,
The Knicks are so bad to lose to these trash Lakers lol,hot_take,
"I’m back. Yall won lol it’s not even just Joel, the sixers are all playing like dogshit and can’t defend your teams elite bench I guess",hot_take,
That one player is 22 with room to grow and the other is 27 and is who he is. That’s my point.,hot_take,
"Most fans (and the announcers) liked Nesmith a lot, he was just rough around the edges and we traded him for a 6th Man of the Year. He was good energy and still needed a year or two in the oven which didn’t fit the timeline.",analysis,
Come April there are very few players that put it into high gear like Brunson has consistently shown year in and year out during his Knicks tenure. He’s also the best player in any series against any East team minus Milwaukee and Boston (with Tatum),hot_take,
I know folk are done with the 90’s and 00’s but I feel like it happened a lot more back then.,hot_take,
Mitch will be priority backup but we likely won’t overpay and Mitch will also likely accept some lower money to come back (hopefully) Glad we got GTA and Shamet for this ride but I’m interested to see who else is available in free agency this offseason before we commit This is the least offseason pressure the Knicks have felt in decades,hot_take,
concussive damage put him in a defensive flow state. He's the Wembentar...,banter,
You could just as easily say that Wemby clearly isn’t in pain lol after a moment he gets up like nothing happened,analysis,"was hot_take (pre-label), corrected on review"
"Yes, the difference in our play wasn’t minor. It was the difference between top 2 and bottom feeder. Bane is a decent third option in a serious team, but he’s never going to be nor has he ever been a winning first option",hot_take,
"KP averaged like 4 and 3 that series. Sucks he wasn't able to give basically anything, but we also threw away game 1 and 2 sadly",analysis,
So dogshit you need a burner to say it,banter,
"It would've been a nice consolation prize at least, sort of like J-Lin winning a ring with the Raptors after years of injuries. But Dirk and the Mavs dashed those dreams.",reaction,
"If he signs another contract I think he forfeits his contract from us. I think he would rather take the payout and be with his family for a year, he’s still young enough to get another job in 2027",hot_take,
He starts the jumpshot 4 feet behind the line and ends up inside the three point line.,analysis,"Describes the exact mechanics of the play (starts 4ft behind, lands inside the arc) as evidence for an implied verdict; borderline"
"2024 and 2025 mavs are the best teams he's ever had, the lakers are a long long way to even getting to that level. No real assets, need real wing defenders, a second option, and actual rim protectors. Nico set his career back years.",analysis,
Bro can wipe his tears with a ring on his hand tho,banter,
We lost so I’m gonna go ahead and flex our previous wins Fixed it for you,banter,
"Yeah, that's why Horry is better than MJ 7 > 6",banter,
"Except they have a positive rating when he’s with the bench, or with Luka or Reaves. Put all three together, and they don’t work. Ant and Brown are net negatives to their respective teams, but the numbers don’t tell the whole story.",analysis,
"A good GM is worth more than that. Kind of priceless, unless you have some sure thing waiting in the wings. Like - Stevens could do this job for another 20+ years. Those 3-4 picks might turn into one All Star if you’re lucky. In 10 years when the franchise is struggling because of a shitty GM while the new Stevens team is contending, everybody will have extreme regrets.",hot_take,"Reasoned argument about GM value vs picks; evidence is hypothetical rather than checkable - borderline with hot_take | was analysis (pre-label), corrected on review"
"Flagg and Wemby are essentially stand-ins for an archetype of “highly touted young draft pick/face of the league-type player” There will be multiple players of that ilk between today and fifteen/twenty years from now. Barring the complete collapse of the U.S. economy/civilization, the majority of those players will become billionaires off purely their NBA salary being managed in the market, not to mention the endorsement deals. Sure, some may squander it, but that’s an outlier case.",hot_take,
I mean I would think that the action and intent is just as important as the result lol. Grabbing a leg when someone is midair is dirty whether or not they ended up injured on that play. We say the same shit about Dort and everyone else when they do sus stuff,hot_take,
"I mean, he was dumb enough not to sign that contract",hot_take,
"""poking from behind, which he does so well, and the finish""",banter,
"Lakers crowd has always been shit compared to other teams, but it has gotten increasingly awful in recent years",hot_take,
They did that. It benefited the big markets allegedly so they created the super max which depends on all star or all nba awards,analysis,"Informational reply explaining supermax history; counted as analysis because it gives a causal explanation, but it's thin"
They'd also need a 12 ref rotation,banter,
"Do redditors take pride in being ignorant? McCain trade wasn't about saving money, cutting EG brought them under the tax. Also having McCain would've done jack fucking shit against the Knicks, Sixers need playmakers and defenders.",analysis,Insulting tone ('do redditors take pride in being ignorant') but the claim is backed by specific cap facts
So you think 30-40 million for that production is as valuable as 8 million for Ayton’s production? Just trying to be clear here.,hot_take,
"I would love it too, but lets be realistically here: AD injury reports are even worse than Embiid's. Also, he is a year older.",analysis,"Borderline: two short pieces of evidence (injury history, age) both load-bearing"
"Even so, I'm fairly sure that Jokic's average is around 35 points against Wemby. Though I highly doubt they will meet, Jokic is having a meltdown against Minnesota.",hot_take,Cites one half-remembered stat ('fairly sure' ~35 pts) - decorative per rule A
It was great basketball until the 10 minute mark of the 4th quarter,reaction,
Well then that explains why your opinion is lower on OKC. Obviously i disagree but you’ll end up being confused when the team led by a guy way worse than steph and with no other stars ends up going b2b with b2b mvps and b2b fmvps,hot_take,
"LMAO, keep trying. Jokic gets less hate because his team has never been as front and center as OKC is this year, and even on his worst days, Jokic still falls over less than Shai does. It also helps that Jokic only started flopping on a consistent basis this season, whereas he didn't take nearly as many dives in prior years. Comparatively, SGA has been a constant diver for years upon years.",hot_take,
